PNOC,RPL36A,
C16orf87,IRAK4,
DPP3,C15orf40,
GSTM5,RLIM,
AAMP,WASH3P,
MAP7D2,URGCP,
CFAP410,ACSL3,
WNT2,HCCAT5,
MRPL38,SNORD17,
CD63,METAP1,
KRTAP10-11,TMCC3,
TFE3,SLC22A17,
MAGEA9B,AKAP10,
HYAL2,SRXN1,
PGPEP1,SLC4A5,
LAMTOR2,ALPK1,
ATP5F1D,FAM131B,
DCUN1D3,UBE2M,
C6orf226,AP1G1,
PALD1,PRELID1,
CCN1,SLC7A1,
DACH1,YTHDC1,
CGA,MARCHF9,
AKR7A3,TMED3,
IL12A,SLC25A40,
SAPCD2,LIG4,
TBC1D12,MIR3936,
SYNDIG1,RAE1,
TYRO3,SPAG1,
PRKAG1,SPRY4,
GTF2B,GTPBP10,
HECTD3,NMRAL2P,
UBQLN3,NUP153,
CLDN25,APOBEC3A,
LASP1,GIGYF1,
ASB9,GIHCG,
PWWP2B,UQCC6,
CCN2,CAPZA2,
E2F2,SNRPF,
NME7,POT1,
IMP3,SUZ12P1,
SHMT2,MSL1,
PALM,VCPKMT,
DMP1,PAQR6,
TMEM161A,ZNF839,
LILRB1,LTB4R2,
NOC4L,SUSD6,
NPW,FANCI,
RO60,USP2,
TBC1D7,UIMC1,
CD52,RYBP,
LOC730101,ARAF,
RPL32,COPS6,
MXD3,KMT5C,
DAPP1,SRP68,
TUBB4B,ASB16,
CHMP6,SRI,
PRMT5,NALF2,
MON1A,DDA1,
GDPD1,DHX36,
COX6B1,COA1,
ALMS1,XPO4,
FAM178B,ARHGEF7,
FAM86DP,RNF187,
NUP214,MINK1,
PLPP5,CEP350,
DOCK6,NAXD,
C5orf34,TRMT10C,
NDUFB7,RBM15,
ATP6AP2,EIF2B5,
CYFIP1,PLA1A,
HYAL3,ERGIC2,
TMEM244,CFAP45,
IFT70A,CDK18,
C8orf76,LIPN,
TMEM201,LUC7L3,
TAS2R43,RBM25,
TXNDC11,GTF3A,
GRK6,OTUB2,
PRADC1,CENPJ,
ASNSD1,RCHY1,
SOX11,PPP1R15A,
IGFBP1,CDO1,
MCRIP1,LRWD1,
