,MIDEAS,
,MED11,
,DNM2,
,SKAP1,
,PRPSAP2,
,DEDD2,
,SLC25A38,
,EHBP1L1,
,WIPF1,
,KLHL3,
,UBE2J1,
,ELF4,
,TTC12,
,TNFRSF10A-DT,
,ELF2,
,ZNF800,
,MARCHF1,
,TRABD,
,KMT2A,
,ZNF43,
,DGKE,
,ATM,
,MDM4,
,E2F5,
,ZNF564,
,STK40,
,NFATC2IP,
,ZNF740,
,RPIA,
,RHOG,
,RAD17,
,SYNGR2,
,MARF1,
,BCL7A,
,NUP88,
,BUD13,
,MAML1,
,TARP,
,OGG1,
,FBXW7,
,MTMR14,
,CLASRP,
,MIGA2,
,ELF1,
,ZNF226,
,TRIM52,
,PTMA,
,ZNF18,
,ZAP70,
,ST3GAL2,
,USP24,
,ZNF266,
,PDCL3P4,
,MARCHF8,
,SETD2,
,CAMK2G,
,GLYR1,
,DCP2,
,SELP,
,CCDC97,
,PATL2,
,SLC2A6,
,CTDSPL2,
,ZFP62,
,PPP1CC,
,BIN1,
,CYP27B1,
,OGT,
,INSM1,
,PMS2P1,
,CAB39,
,ZNF227,
,TRAFD1,
,ZCCHC10,
,BLOC1S4,
,ZNF346,
,SETD1B,
,HCG26,
,STX18,
,CMTR2,
,ALKBH1,
,PHC3,
,UPF1,
,SPOP,
,RBM26,
,IL16,
,JAK1,
,HNRNPA1L2,
,ZNF701,
,CASS4,
,PPP1CA,
,TRAV12-2,
,FPGS,
,CYB561D1,
,HIP1R,
,ACTR2,
,RBM10,
,DENND11,
,ARHGEF3,
,ZNF563,
,HNRNPA0,
,MON1B,
,BTAF1,
,NKAPP1,
,SCYL3,
,PARP11,
,ETS1,
,SMARCA2,
,USP7,
,ZNF525,
,ALKBH8,
,RMND5B,
,FOXO1,
,PAPLN,
,GZMK,
,NFKBIE,
,ZNF816,
,TNFSF8,
,UTP3,
,ZNF839,
,HNRNPD,
,MIXL1,
,NUDT16L1,
,RAP1A,
,GLCCI1,
,ZFP14,
,MYB,
,KDM3B,
,CCNK,
,RELT,
,SNX29,
,CD226,
,ZBTB44,
,ARAF,
,SLC25A46,
,CARD8,
,L3MBTL3,
,VRK3,
,MED6,
,TRABD2A,
,TCERG1L,
,C9orf78,
,NBEAL2,
,GRIPAP1,
,AVL9,
,MYBL2,
,OSBPL11,
,SHLD1,
,ZCCHC18,
,PLEKHO1,
,CXorf38,
,CYFIP2,
,MCL1,
,RBM5,
,SUB1,
,UBR7,
,RASA2,
,ADAMDEC1,
,HIVEP2,
,SRSF3,
,APAF1,
,CD1E,
,AP5M1,
