ZNF322,ZNF433,
UBE2H,CALM3,
ZNF589,NSUN5,
ZNF234,SLAIN1,
MRPL51,GNAO1,
ARRB2,ENHO,
RLF,PCDHB16,
COASY,DCPS,
FAM13A-AS1,TRPV1,
DEPTOR,JAK1,
AGPAT3,ARHGAP35,
PCBD1,ELOVL7,
STRBP,SKIC8,
SYNE2,DHFR2,
NCEH1,ZNF347,
ARPIN,ETV4,
BTK,IFT46,
BCOR,PPFIBP1,
GLB1,HCCAT5,
TOM1L2,ENTHD1,
SPP1,PRR22,
TCIRG1,GRIP2,
ARL14EP,RBPMS,
HDDC3,SHROOM1,
GRN,FLJ16779,
RAI14,LONRF3,
GAS2L1P2,PCDHB3,
RIN2,PDIA3P1,
CRELD1,F11R,
FLYWCH2,ZFHX2,
COPS5,OSTM1,
TULP3,EGFR,
TTI2,CKS2,
ZDHHC19,RBMS3,
HTN1,SNORD59A,
SNORD54,UBE2M,
IFRD1,HEXIM1,
RAB8A,ENPP3,
CRACD,LCAT,
PLP1,PTCHD3P1,
MAT2B,ZNF436,
CLSTN2,LANCL1,
COQ6,PHYHD1,
TMEM243,LAMB3,
GMIP,KLF13,
EEIG1,TBRG4,
LINC00612,NFE2L3,
DOHH,NEMP1,
TIA1,TPMT,
CCNT2,PLPP3,
KDELR2,SNX33,
AADAC,MBD6,
DOLK,BCAP31,
NEB,ZHX1,
UBTD1,ZNF354C,
CD2BP2,BAMBI,
SESTD1,LOC100507053,
RPGR,AIG1,
ITGA3,GADL1,
MORN4,MAGEA8,
MICA,PICART1,
PLCB1,ALAD,
CPEB1,FZD4,
SERPINB8,AARD,
RNASEH2A,PCDHB4,
C1GALT1C1L,RSPRY1,
INSM2,APMAP,
LINC00472,MED4,
S100B,CLEC2D,
TMEM70,LOC254896,
TECR,SSTR2,
SNORA56,RAB11B,
ST14,LSAMP,
WIPI1,CHADL,
MRC2,MKRN1,
SLC2A6,ETFB,
MTMR10,ECHDC2,
ICAM3,LOC100507412,
DPM2,TM6SF2,
MATR3,LINC01625,
REG1A,ARSI,
CATSPERE,PPP1R15B,
S100A6,FAM182B,
PRKG2,COLEC11,
PRDM10,SMG7-AS1,
ZNF511,FHL3,
TMEM88,SNORA7B,
ELF2,EEF1A2,
RSRP1,ANAPC4,
SSNA1,PML,
RPL5,MIR3939,
MIR219A2,NRTN,
ITM2B,ZNF41,
SH3TC2,PID1,
AKR1D1,CPED1,
VPS35,CLU,
DNAJB5,PLPP1,
ZNF514,SNORD102,
PGBD2,ANGPTL6,
ZBTB44,DNAJC6,
NOL8,COX5A,
CDYL,SLCO2B1,
FAM110D,GARNL3,
LINC00930,CDIN1,
PPP4R3B,POM121C,
LMF1,MAN2A1,
VPS18,ECRG4,
NME1,SLC35F1,
OR4C15,ARL2-SNX15,
SNORD30,GLI1,
ZNF84,CHRNB1,
RRAGD,PAN3,
RABL6,BID,
RPL7,FGGY,
JMJD6,CLSTN3,
SMARCD1,QPCT,
LYPLAL1,EMILIN1,
GSTK1,GABRG2,
FBXL2,ADH1B,
SPCS1,ETF1,
AMY2A,PPP1R10,
TTC28,MLH1,
SPNS2,AMOTL1,
NKAPL,ECH1,
EDEM2,IHO1,
WASHC5,STARD7-AS1,
CHI3L1,RPS6KA2,
NUDT22,NTN4,
TRAPPC2L,IGFBP7-AS1,
ZDHHC24,ACO1,
ABCB7,ADIPOR1,
SERTAD2,LINC00221,
SEC13,P3H1,
ANXA2R-AS1,MCTS1,
RAB33B,ALDH6A1,
MAP3K12,EIF4E,
PREPL,ANGPT2,
MRGPRX3,TBC1D32,
CPLANE1,SLC19A2,
MIB1,DISP1,
GSDMA,TMEM198,
VPS37B,PLXNA1,
NMB,NATD1,
CDC14A,UNK,
PRP4K,SAP30L,
CCDC154,LINC01000,
ALMS1,TM4SF19-DYNLT2B,
LOC286437,TUBB8,
CTBP1,TPT1-AS1,
SNORD11,RANBP1,
CPEB4,DLL4,
OSTC,ZNF778,
ATP5MF,CYB5A,
BIRC2,TRIM23,
ST6GALNAC4,ADAM15,
NFYC-AS1,AVPR1A,
NLN,NOG,
LOC389834,CDC14B,
STK3,SEM1,
RBM12B,KLF11,
FTSJ1,NRBF2,
CIZ1,PHF5A,
AGFG2,USP36,
PRMT3,KLB,
KHDRBS1,BRSK1,
ARIH1,SCN4B,
KCNE2,PPP2R2B,
PORCN,LINC02716,
PRKAB2,TAB1,
KIAA1586,INSL6,
ANXA2P1,CNPY2,
MBNL3,ZNF697,
DIMT1,PLSCR1,
USP47,ADGRL2,
RPRD1A,MED28,
CTAGE6,GYG1,
TUBA1C,BNIP3L,
SYCP2,CYP7B1,
GABBR1,LPP,
TP53TG1,ASPSCR1,
MIR483,YPEL2,
MYO1C,LRTOMT,
PXMP2,CETP,
OLFML2A,NR2F1,
ZNF711,BICDL1,
TMEM184B,GMPS,
DNLZ,RHPN1,
IFIT2,ATXN1L,
PNPLA7,MIR3176,
MYO19,DDR2,
KRTAP22-2,APH1B,
TUG1,PRR7,
PFN1,LINC02875,
MOB1B,SMAD6,
SEC14L1P1,CCDC57,
ZNF333,THRSP,
EDF1,SGSH,
PLAG1,LINC00853,
RAB5C,WDR91,
OMA1,USF3,
HAX1,GALC,
ZBTB33,ALDH2,
GOSR2,TTC3P1,
ZNF541,APOA4,
HYCC1,NUP42,
TMEM167B,ANKRD11,
TESK1,ODC1,
HERC1,YKT6,
CHRNA7,PHAF1,
FAM135A,SFT2D1,
SCMH1,SH3RF3-AS1,
TCEA1,METTL2A,
FEM1A,CAVIN2,
SPHK1,CSPG4,
LY96,TF,
MRM2,LGR4,
RABGAP1,TIAL1,
COX6A1,TMEM14C,
SERINC5,SNHG15,
PPP2R3B,CC2D1A,
ABHD14B,TRPS1,
DZIP1L,NCKAP5L,
TMEM127,AADACP1,
LINC02291,ZNF442,
HINT2,MAGED2,
GJC3,PDK1,
AMDHD2,ATG4B,
URM1,LINC00308,
YIPF5,PDHB,
ALG6,GIHCG,
TMSB4X,BAIAP2-DT,
MDC1,CDK2,
MVP,DPYD,
DYNC2I2,NUGGC,
ABLIM1,GATAD2A,
GPT,ZNF175,
PSMB3,PLAAT5,
LINC00926,LCA5,
SHROOM3,SEC14L4,
DPCD,MAOA,
NDFIP1,WAKMAR2,
GPR137,MIR4696,
PRDM2,LINC01121,
ARMCX5,NFKBIE,
EBP,CPSF4,
LYPD1,RBX1,
ENTPD7,C15orf40,
PCIF1,IFNGR2,
ZDHHC3,WWOX,
ELOVL1,PKNOX2,
SNX21,ANKRD18DP,
TSPAN5,TMUB1,
IFNW1,ANG,
GOLGA7B,HEPACAM,
DELEC1,ADGRA2,
NR2C2AP,GLI2,
PWWP2B,C12orf60,
ROGDI,PC,
ALDH1A1,EFR3A,
CENPC,CDH3,
FOXJ3,ZNF839,
CHMP7,LINC02447,
PGAM1,ZYX,
ATP5F1EP2,DDX10,
MIR600HG,C10orf95-AS1,
OGFRL1,ITGA8,
LINC00239,DCUN1D2,
DNASE2,ATG14,
ARGLU1,ZDHHC2,
NTMT1,NUDT12,
TECPR1,MZT1,
MMP7,LNX2,
CIAO2B,SDAD1,
CACNA1I,SQSTM1,
LOC100132154,BNIP2,
C3orf18,PPP1R26,
CDC42EP2,FITM2,
RBBP7,ZNF558,
PHF20L1,SNRPF,
C19orf53,PPP2R5A,
ZNF483,TFDP1,
PRKCE,ZNF775,
CTSZ,PAOX,
ITGB4,GUCY1A2,
CDKN2AIP,HNRNPF,
HAPLN2,ABHD11-AS1,
GK5,EGR3,
PLSCR4,ARGLU1-DT,
GPR162,CRHBP,
C4orf3,FOXO4,
ZNF438,SPECC1,
SND1-IT1,CAP2,
MAPK3,PTPRJ,
ZNF649,ENPEP,
NMT1,E2F6,
CBARP,CHAMP1,
CDC23,H4C8,
GPR143,RPL36A,
MIR761,ZFP82,
PDK2,MS4A15,
LYPLA1,BASP1-AS1,
YTHDF3,PRKD1,
ATP6V1F,FGD5-AS1,
BEND5,TFPI,
CNPY4,MIR3177,
CNIH2,GAGE12J,
KIR2DS3,CHMP1B,
LRIG2,PCDHB11,
RPUSD2,MIR3186,
IGBP1,SLC1A1,
PLPP4,PKN1,
SPRN,MREG,
LZIC,ANKRD13C,
TMEM81,TTC36,
ANAPC2,SLC25A20,
RPL39,CCZ1,
PPDPF,ZSCAN16,
VMA21,ALMS1P1,
MTSS1,WASHC2A,
SIGMAR1,ACAA1,
ROMO1,VIPAS39,
MTREX,IRF5,
SNORA18,DHRS3,
SNORA75,SERPINH1,
MRPL27,ATP6V1G1,
USP9X,ZFP36L1,
NDUFAF1,PINK1,
TRAPPC5,SEPTIN9,
MAP2K7,SH3TC1,
ORAI1,DLC1,
APEX2,LRP5,
RPS4X,TM4SF19,
FBXL18,FGFR1OP2,
SF3B5,LDB2,
ELAC2,RNF4,
SCYL3,CUL1,
FBXO11,FBXO31,
BPNT2,DHODH,
SNORD73A,GAS8-AS1,
SLC45A3,SNORA27,
MTRR,HS3ST3B1,
SLC20A2,FANCI,
NFXL1,GSR,
COA3,LINC01963,
RAB5B,DDX47,
MAP3K9,SPTSSA,
FEN1,ARID4A,
WDTC1,SNHG16,
RNF123,SULF2,
ABCC2,GPLD1,
MIR1249,EGFEM1P,
MALL,,
JAM2,,
WHAMMP1,,
DPM3,,
CIMAP1B,,
CASK,,
SDHAP2,,
MAT2A,,
CDK15,,
TMEM123,,
RITA1,,
GSTM1,,
G6PC3,,
GSS,,
RFC1,,
SNORD101,,
SH3YL1,,
MIR135B,,
SP3,,
SPARCL1,,
DPP3,,
ORC4,,
SPAG9,,
SYT14,,
ZFYVE19,,
LMNA,,
ZNF302,,
BRI3BP,,
PIGA,,
RNF167,,
CHST12,,
ACCS,,
FAH,,
SH3KBP1,,
NECAB3,,
SMCHD1,,
TRIM13,,
DDB1,,
LRRN2,,
DMTN,,
ATP6V0E2,,
DOLPP1,,
SNORD87,,
PPAT,,
TMEM106C,,
CTNS,,
TUBB4B,,
OAZ3,,
P3H3,,
KLF3-AS1,,
CFL1,,
STIMATE,,
SLX9,,
ATP6V0C,,
CD44,,
JMY,,
E2F2,,
TADA1,,
APEH,,
PSPC1,,
RNASE1,,
CTNNAL1,,
OSBPL8,,
ACBD4,,
MARVELD1,,
MGAT5B,,
RPL37,,
R3HCC1L,,
ARHGAP25,,
SEMA4F,,
TSPAN31,,
CNOT8,,
TRPT1,,
GSTA1,,
PKN3,,
NAA16,,
PALD1,,
VCAM1,,
ZNF80,,
MTM1,,
GTF2F1,,
NONO,,
PRECSIT,,
CDKN2A,,
XAGE5,,
MYG1,,
STX11,,
TUBB3,,
CCNG1,,
CDCA4,,
MRPL58,,
LIFR,,
CPZ,,
SPEN,,
USP38,,
EPHX1,,
ABCB9,,
MRPL43,,
RAB22A,,
TAS1R2,,
H2AJ,,
C18orf21,,
ADGRB2,,
MTX3,,
ZFHX3,,
ROBO4,,
IRX5,,
ENTPD4,,
PRODH,,
ANAPC11,,
TOMM20L,,
RAB1B,,
NOL6,,
HNRNPM,,
THNSL1,,
CD59,,
NOP58,,
KHDC1,,
LINC02145,,
STX12,,
GTF2H1,,
GBA1,,
ASGR1,,
POC1A,,
ESPL1,,
FAN1,,
DOCK5,,
MTX1,,
MSC-AS1,,
CHCHD2,,
EIF2B2,,
NPIPB13,,
TRIM5,,
AUH,,
TTLL5,,
OSBPL9,,
