ZNF555,,
RPL35,,
ZFAND4,,
COQ5,,
LRRK2,,
KAT14,,
CHFR,,
TUSC2,,
RPS24,,
SLC2A13,,
SLC37A1,,
RABGAP1L,,
LAMTOR3,,
THAP9,,
NUDT21,,
CD2BP2,,
C11orf71,,
GLA,,
FZR1,,
CDKN1B,,
PAG1,,
PHF11,,
INPP4A,,
MS4A4A,,
NAXD,,
RAB20,,
UBE2E1,,
BCDIN3D,,
PPM1M,,
MRPL57,,
OAS3,,
TMEM135,,
MAP3K7CL,,
TM4SF19-DYNLT2B,,
TMEM18,,
SHARPIN,,
PDCL,,
MRPL54,,
PGGT1B,,
LPAR6,,
MMP13,,
NLE1,,
CSGALNACT1,,
UBE2Z,,
SURF6,,
MRPL20,,
DZIP3,,
RFT1,,
USE1,,
CCS,,
RPL7A,,
TMEM259,,
NCF1B,,
KCTD12,,
RPS6,,
SLC1A5,,
ZKSCAN7,,
PURA,,
MBD3,,
RAD51B,,
PINLYP,,
ZNF627,,
TSC22D4,,
IRF3,,
ORMDL3,,
CACHD1,,
PPCS,,
CTBP1-DT,,
SLC38A9,,
SYT6,,
TDRD7,,
ZNF563,,
HMGCR,,
MIR4740,,
PLCL2,,
EEPD1,,
ELF1,,
TMEM167A,,
HMGN3,,
NHLRC4,,
GGPS1,,
VSIR,,
PIK3R3,,
DTX2,,
MSL1,,
MRPL50,,
TMSB4X,,
STK32B,,
PELI3,,
KDM6A,,
ENSA,,
EXPH5,,
EEF2,,
SNAPC5,,
MCOLN2,,
ABRAXAS1,,
YTHDC2,,
PCNX1,,
HNRNPA1,,
NDUFS7,,
PEX19,,
ZNF383,,
CALM3,,
LYPLAL1,,
ATP6V1G1,,
KIAA0586,,
NXPH1,,
PGLS,,
TSSC4,,
ERH,,
ZFTRAF1,,
BRSK2,,
PLCB2,,
CNTRL,,
CCDC117,,
H2AC20,,
RPL7,,
CXorf65,,
GPRIN3,,
ACTG1,,
MRPL28,,
SLF1,,
PPP1CA,,
NUDT14,,
MUS81,,
ZNF22,,
TMED5,,
ESYT1,,
YWHAE,,
TMEM169,,
PUS3,,
SIGIRR,,
TBCA,,
FRG1BP,,
HS3ST2,,
MRFAP1,,
IDH3G,,
TMED8,,
BRD3,,
RBM26,,
SRP72,,
CCNJL,,
FBXW5,,
PSMC2,,
DCTN5,,
CLPX,,
THSD1,,
DFFA,,
PMAIP1,,
DTNB,,
ZNF516,,
TMEM139,,
DHFR2,,
ATP10A,,
FAM91A1,,
ANKRA2,,
LINC02610,,
RMI2,,
RBM4B,,
LSM7,,
UBA6-DT,,
QARS1,,
IFI6,,
MED7,,
HPN-AS1,,
SUCLG1,,
OTUB1,,
WDR55,,
TATDN3,,
TBC1D31,,
FOXN3-AS1,,
STAMBP,,
COMMD5,,
RPL38,,
SNX5,,
TMEM179B,,
RNF4,,
ZFYVE28,,
GLMP,,
ABHD18,,
RUSF1,,
ZNF34,,
SLC12A8,,
EBAG9,,
TMEM260,,
CD5,,
TMEM126B,,
GLOD4,,
AGPAT3,,
RPL36AL,,
PI4KB,,
HLA-DQA1,,
PPP1R21,,
DRG2,,
IGBP1,,
RPS19,,
PPWD1,,
ARF1,,
PPFIBP1,,
GABPB1-IT1,,
C8orf33,,
DPH1,,
COG8,,
RPL10A,,
PDCD7,,
MAPK1IP1L,,
DAPP1,,
TPMT,,
LZIC,,
COPS4,,
ANGEL2,,
IFNLR1,,
VAV1,,
FBXL14,,
NCOA2,,
YIPF2,,
RNPC3,,
NCOA7,,
SNHG29,,
CCNK,,
COQ4,,
TIRAP,,
PSMB3,,
UTP3,,
MRFAP1L2,,
SNX2,,
RPS28,,
PRRG1,,
SLC35C2,,
NORAD,,
MINDY3,,
LILRA1,,
RPL8,,
CEP120,,
CEP128,,
EXOSC6,,
PLEKHF2,,
TP53,,
DCAF8,,
TCF25,,
ZRANB2,,
MYO1G,,
MAN2B1,,
RTCB,,
ZNF410,,
RNF220,,
ZNF44,,
GRB10,,
LENG1,,
RGS18,,
RIC1,,
USP22,,
KEAP1,,
BVES-AS1,,
LLGL1,,
EPC1,,
HDAC3,,
GYG2,,
LYRM9,,
COLGALT2,,
OSBP2,,
TCL1A,,
RPL32,,
OXR1,,
WDR25,,
CCL7,,
NRIP1,,
GPBP1,,
UBB,,
ATF4,,
CRMP1,,
PYGO2,,
